projectIndicator,projectNo,Score,program,Current Estimate ,r_curr_jan_2016,r_curr_feb_2016,r_curr_mar_2016,r_curr_apr_2016,r_curr_may_2016,r_curr_jun_2016,r_curr_jul_2016,r_curr_aug_2016,r_curr_sep_2016,r_curr_oct_2016,r_curr_nov_2016,r_curr_dec_2016,Roche,e_curr_jan_2016,e_curr_feb_2016,e_curr_mar_2016,e_curr_apr_2016,e_curr_may_2016,e_curr_jun_2016,e_curr_jul_2016,e_curr_aug_2016,e_curr_sep_2016,e_curr_oct_2016,e_curr_nov_2016,e_curr_dec_2016,External,Total,,r_t3_jan_2016 ,r_t3_feb_2016,r_t3_mar_2016,r_t3_apr_2016,r_t3_may_2016,r_t3_jun_2016,r_t3_jul_2016,r_t3_aug_2016,r_t3_sep_2016,r_t3_oct_2016,r_t3_nov_2016,r_t3_dec_2016,Roche,e_t3_jan_2016 ,e_t3_feb_2016,e_t3_mar_2016,e_t3_apr_2016,e_t3_may_2016,e_t3_jun_2016,e_t3_jul_2016,e_t3_aug_2016,e_t3_sep_2016,e_t3_oct_2016,e_t3_nov_2016,e_t3_dec_2016,External
,74487,N/A,Highly Capable Workforce,"$3,599,797 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.27,0.27,0.27,0.27,0.27,0.27,0.41,0.54,0.54,0.44,0.23,0.23,0.33,0,0,0,0,0,0,30.54,30.54,30.54,30.57,0,0,10.18
,74489,3.1,Exceptional Culture,"$685,700 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74490,16.3,Reliability and Value,"$601,445 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,6,2,2,,0.59,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74491,60,Launch and Commercial Excellence,"$1,364,276 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,15.49,22.99,22.99,22.99,26.49,26.49,26.49,31.92,31.92,31.92,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0
Global,74511,13.3,Reliability and Value,"$1,943,300 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0,0,0,0,0.01,0.01,,1.31,1.34,1.41,1.27,1.27,1.27,2.44,2.3,2.3,2.3,2.3,2.3,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74512,0,Fit for Purpose,"$800,000 ",0,0,0,0,0,0,0.79,0.52,0.14,0.06,0.06,0.06,0.14,0,0,0,0,0,0,0.41,0.41,1.1,5.48,5.48,5.48,1.53,1.67,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0,0,0,0.18,,,,,,,,,,,,,0
Individual Project,74524,18,Reliability and Value,"$14,571 ",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,0.12,0.41,0.44,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
,74526,13.3,Reliability and Value,"$1,882,404 ",,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74535,0,Reliability and Value,"$306,000 ",0,0,0.91,0.97,0.71,0.27,0.06,0.06,0.1,0.88,0.8,0.24,0.42,0,0,2.31,2.04,2.55,1.87,0.2,0.2,0.95,2.31,2.08,0.78,2,2.42,,0.91,0.91,0.91,1.94,1.94,1.94,0.22,0.22,0.22,1.93,1.93,1.93,1.25,1.9,1.9,1.9,5.78,5.78,5.78,1.36,1.36,1.36,5.01,5.01,5.01,3.51
Individual Project,76643,18.6,Highly Capable Workforce,"$143,425 ",0,0.32,0.14,0,0,0,0,0,0,0,0,0,0.04,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.03,0.07,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
